"waterCalcium","waterMagnesium","waterSodium","waterPotassium","waterChlorine","waterManganese","waterIron","waterFluorine","waterNitrateAndNitriteN","dissolvedInorganicCarbon","dissolvedOrganicCarbon","siteID"
93.47,0.68,1.59,0.197,3.03,2.85,0,0.01,0.5076,62.11,0.2459,"FLNT"
69.33,0.65,1.57,0.219,3.08,0,0.02,0.01,1.4615,47.2,0.0792,"FLNT"
7.2,1.08,1.59,0.595,2.14,0.17,0,0.01,0.0531,8.197,0.5683,"FLNT"
2.53,0.16,2.52,0.149,3.41,0.06,0,0.01,0.5113,8.733,0.2718,"FLNT"
95.5,0.85,2.85,0.291,0.9,0,0,0.01,0.5076,36.04,0.4788,"FLNT"
47.66,0.54,3.02,0.26,11.06,0,0,0.01,0.0859,60.67,0.482,"FLNT"
46.26,0.82,1.51,0.165,10.21,0,0,0.01,1.5402,35.87,0.4575,"FLNT"
55.69,0.82,2.96,0.202,11.19,0,0,0.01,0.2076,36.02,0.6268,"FLNT"
54.71,1.42,3.97,0.74,15.78,0,0,0.01,0.1491,35.51,1.578,"FLNT"
60.39,0.82,2.12,0.275,14.29,0,0,0.01,1.2938,42.84,0.7434,"FLNT"
37.32,9.24,8.12,0.562,3.22,0.09,0,0.18,0.847,38.4,0.6703,"GUIL"
51.7,18.23,20.39,1.923,20.12,0.13,0,0.15,4.919,43.31,0.454,"GUIL"
41.83,12.36,11.57,1.369,6.8,0,0,0.01,1.099,37.84,0.6519,"GUIL"
71.09,16.98,16.9,2.586,8.09,0.04,0,0.01,2.195,56.17,0.5967,"GUIL"
49.06,20.59,15.88,1.425,25.24,0,0,2.24,5.2688,42.76,0.9221,"GUIL"
47.25,20.21,18.27,1.554,15.37,0,0,2.67,5.1551,42.34,0.6407,"GUIL"
38.23,16.08,13.96,2.312,13.49,0,0,1.27,5.2738,35.56,0.6404,"GUIL"
32.69,13.36,10.34,1.118,5.83,0,0,2.07,0.8668,35.17,0.7403,"GUIL"
36.76,20,15.37,2.079,5.48,0,0,0.01,2.2786,59.81,0.6191,"GUIL"
42.03,20.84,6.24,1.257,2.52,0,0,0.41,0.178,77.1,1.195,"KING"
46.25,25.49,8.21,1.158,2.96,0,0,0.33,0.35,91.45,0.9316,"KING"
109.77,23.37,6.55,1.131,2.04,0,0,0.36,0.101,91.61,1.107,"KING"
122.63,26.83,7.8,1.408,2.65,0,0,0.33,0.084,98.72,1.066,"KING"
106.31,21,5.95,1.509,1.79,0,0,0.39,0.102,81.72,0.8684,"KING"
125.73,25.71,8.48,1.259,2.72,0,0,0.38,0.207,95.53,0.7981,"KING"
77.72,24.52,6.3,1.111,1.66,0,0,0.36,0.073,95.91,0.8093,"KING"
115.55,24.04,6.79,1.327,1.71,0,0,0.38,0.094,93.68,0.7646,"KING"
52.77,21.23,0.12,1.252,3.19,0,0,0.01,0.1652,91.8,1.11,"KING"
63.98,21.61,0.33,1.282,0,0,0,0.01,0.157,92.74,0.887,"KING"
58.67,21.05,0.21,1.181,0,0,0,0.01,0.1433,93.63,0.8401,"KING"
49.43,21.66,0.1,0.956,3.6,0,0,0.01,0.0784,89.97,0.9813,"KING"
30.54,27.03,5.85,1.02,4.11,0,0,0.01,0.1706,67.12,1.386,"KING"
53.43,27.58,5.63,1.078,2.35,0,0,0.01,0.2604,47.21,0.8276,"KING"
56.23,27.32,5.51,0.981,2.59,0,0,0.01,0.1657,84.07,0.64,"KING"
22.51,27.22,5.83,0.812,4.95,0,0,0.01,0.1042,78.05,0.8865,"KING"
1.21,0.65,1.71,1.507,1.83,0.02,5.15,0.01,0,9.106,2.399,"MAYF"
1.06,0.57,1.07,2.33,1.52,0,0.34,0.01,0.019,5.757,0.3469,"MAYF"
0.57,0.52,1.94,0.128,1.9,0.06,1.29,0.01,0.001,4.795,1.156,"MAYF"
0.56,0.57,1.04,0.387,1.84,0.15,9.23,0.01,0.001,4.258,0.958,"MAYF"
1.21,0.79,1.45,1.934,2.05,0.03,1.73,0.01,0.0319,10.04,1.786,"MAYF"
1.66,0.88,1.17,3.483,1.4,0.01,0.02,0.01,0.0479,5.469,0.312,"MAYF"
0.88,0.84,1.08,0.417,1.82,0.35,0.03,0.01,0.0313,5.698,0.7234,"MAYF"
0.88,0.82,1.18,0.225,1.89,0.15,0.04,0.01,0.0222,10.53,1.822,"MAYF"
1.27,0.53,1.59,1.335,6.21,0.01,0.32,0.01,0.004,5.27,1.955,"MAYF"
0.86,0.55,2.23,0.592,5.62,0.03,0.29,0.01,9e-04,2.87,3.508,"MAYF"
3.2,0.75,2.38,1.563,8.52,0,0,0.01,0.0239,4.125,0.5897,"MAYF"
2.56,2.45,2.25,0.211,5.99,0.04,0.01,0.01,0.0038,4.687,1.468,"MAYF"
0.92,0.77,0.85,0.414,0.7,0.01,2,0.01,-0.0089,11.73,2.208,"MAYF"
0.59,0.46,0.97,0.724,0.2,0.02,0.4,0.01,0.0099,7.981,3.943,"MAYF"
1,0.73,0.66,0.68,0.04,0,0.01,0.01,0.0221,5.25,0.3276,"MAYF"
0.88,0.78,0.88,0.108,0.57,0.04,0.07,0.01,0.029,12.13,2.006,"MAYF"
47.24,15.54,24.19,6.702,7.48,0,0,1.15,2.07,44.48,0.9885,"ARIK"
63.77,18.14,32.09,8.12,9.85,0.07,0.01,1.11,-0.007,72.96,3.097,"ARIK"
56.15,20.42,34.61,8.429,7.3,0.1,0.04,1.28,0.003,81.02,3.763,"ARIK"
46.54,15.24,26.1,7.375,5.88,0,0,1.11,1.722,45.36,1.054,"ARIK"
36.08,12.31,18.4,6.111,6.4,0,0,1.18,1.8843,43.13,0.5932,"ARIK"
60.13,14.41,23.57,6.948,8.91,0.12,0.03,1.17,0.0451,69.4,2.461,"ARIK"
63.34,16.84,26.43,8.485,5.77,0.33,0.35,1.48,0.0485,80.01,3.925,"ARIK"
38.73,12.77,19.51,6.268,5.54,0,0,1.11,1.2737,47.25,0.7984,"ARIK"
43.57,13.13,16.45,5.648,9.7,0,0,0.01,1.9016,46.3,1.121,"ARIK"
75.03,16.12,22.5,7.036,11.53,0.14,0.05,0.01,0.0155,78.65,3.049,"ARIK"
77.09,18.76,24.83,7.433,9.63,0.34,0.32,0.01,0.0117,84.19,4.012,"ARIK"
44.2,13.06,17.88,6.313,7.31,0,0,0.01,1.6617,46.61,1.126,"ARIK"
40.18,17.02,19.34,5.728,7.74,0,0,0.5,1.6376,45.6,0.5189,"ARIK"
61.82,20.25,25.84,6.516,9.98,0.09,0.01,0.01,0.0119,74.83,2.746,"ARIK"
71.72,23.93,30.46,8.189,14.3,0.32,0.11,0.01,0.0152,87.88,4.157,"ARIK"
43.76,17.74,20.87,6.01,6.34,0.02,0,0.44,0.9735,49.43,0.6702,"ARIK"
122.83,19.9,15.79,1.239,27.14,0,0,0.07,3.404,76.09,0.5624,"BLUE"
121.74,42.14,9.98,1.347,8.34,0,0,0.2,-0.006,95.46,1.035,"BLUE"
74.03,23.99,4.76,1.225,4.3,0,0,0.04,0.035,109,0.8264,"BLUE"
69.3,38.76,6.06,1.802,6.02,0,0,0.06,0.118,91.19,0.5892,"BLUE"
22.03,36.32,6.58,1.998,5.55,0,0,0.01,0.1165,94.31,0.6749,"BLUE"
45.42,27.6,4.37,1.185,3.32,0,0,0.3,0.0292,94.29,0.8315,"BLUE"
51.43,26.64,5.27,2.403,4.75,0,0,0.17,0.0205,102.6,1.245,"BLUE"
87.86,37.13,17.65,2.613,11.49,0.1,0,0.01,0.0552,159,2.272,"BLUE"
22.7,40.22,4.87,0.345,9.36,0,0,0.01,0.355,105.8,1.23,"BLUE"
1.18,0.17,7,0.143,0.39,0.01,0.57,0.01,0.034,4.017,9.967,"COMO"
2.38,0.65,2.24,0.134,0.72,0,0.07,0.01,0.032,4.616,4.388,"COMO"
2.49,0.58,1.24,0.113,0.37,0.01,0.67,0.01,0.046,4.118,3.168,"COMO"
2.3,0.44,2.04,0.181,0.35,0.06,0.12,0.01,0.0477,4.526,3.207,"COMO"
3.03,0.7,1.46,0.222,0.61,0.04,0.02,0.01,0.0478,4.508,3.464,"COMO"
4.04,0.53,1.17,0.094,6.41,0.07,0.1,0.01,0.0477,3.936,4.551,"COMO"
23.13,4.35,2.2,0.691,8.56,0,0,0.01,0.0055,2.745,5.593,"COMO"
2.16,0.5,15.37,0.213,6.52,0,0.26,3.91,0.0098,13.2,6.444,"COMO"
75.09,33.64,1.82,1.141,15.34,0,0,0.01,0.0035,5.252,4.105,"COMO"
2.23,0.82,1.15,0.207,0.46,0.03,0.37,0.01,0.0131,4.59,2.945,"COMO"
6.45,1.88,15.44,0.482,5.32,0.02,3.33,0.01,0.013,17.21,8.413,"COMO"
3.28,1.08,1.35,0.251,0.12,0.01,0.02,0.01,0.018,6.902,3.383,"COMO"
